StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,age,employed,hours_week,job_function,job_function_11_TEXT,job_level,job_level_6_TEXT,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_TEXT,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible
2026-02-23 10:08:01,2026-02-23 10:11:57,0,100,235,1,2026-02-23 10:11:57,R_19bI4TgWfOkdEu8,anonymous,EN,1,1,1,40,11,education,1,,1.5,1,4,4,4,2,1,,4,20,"1,2,3,5,6",4,5,4,2,4,1,4,4,4,4,4,25,4,I teach nursing students in an associates degree nursing program.,1,1
2026-02-23 10:09:40,2026-02-23 10:12:28,0,100,167,1,2026-02-23 10:12:28,R_12G1j0Z0s2BD9DV,anonymous,EN,1,1,1,40,1,,2,,2,1,4,3,2,5,"1,2,8",,6,10,"1,2,3,5,6",4,4,3,2,5,1,4,5,5,5,5,20,4,"My primary job is to identify, analyze and report on cybersecurity risks.",1,1
2026-02-23 10:08:04,2026-02-23 10:12:49,0,100,284,1,2026-02-23 10:12:50,R_1Ez2qd62gWkGARl,anonymous,EN,1,1,1,40,1,,3,,4,1,4,5,4,1,"1,3,5",,6,2,"1,2,3",4,4,5,2,3,1,3,5,4,4,5,11,4,Project Manager,1,1
2026-02-23 10:09:03,2026-02-23 10:14:24,0,100,321,1,2026-02-23 10:14:25,R_1n7sYE5UTwVHXQY,anonymous,EN,1,1,1,40,4,,4,,9,1,4,5,3,4,"1,2,6,8",,5,50,"1,3,5,6",5,4,4,3,3,2,,5,4,5,4,12,4,I’m a senior supervisor of a large retail chain,1,1
2026-02-23 10:10:38,2026-02-23 10:14:30,0,100,231,1,2026-02-23 10:14:30,R_3EzrkjeFyC73utK,anonymous,EN,1,1,1,52,4,,6,owner/operator,11.7,1,5,5,4,2,9,grok,6,45,"1,2,3,5,6",4,5,5,1,3,2,,5,4,3,5,26,4,i am a small business owner/operator and am involved with all aspects of the business.,1,1
2026-02-23 10:09:54,2026-02-23 10:14:35,0,100,280,1,2026-02-23 10:14:36,R_1VEuuj2qawKCe4N,anonymous,EN,0.6000000238418579,1,1,40,1,,2,,7,1,4,4,4,2,5,,4,10,1,2,4,3,3,3,1,4,4,4,3,4,37,4,Keep the computers running.,1,1
2026-02-23 10:09:35,2026-02-23 10:14:51,0,100,315,1,2026-02-23 10:14:51,R_1vhLArEDedHsSv7,anonymous,EN,1,1,1,40,10,,3,,3,1,4,4,4,3,"1,2",,3,2,"3,4,6",2,3,2,3,3,1,4,4,4,2,5,13,4,"Project management. ",1,1
2026-02-23 10:09:21,2026-02-23 10:14:53,0,100,331,1,2026-02-23 10:14:53,R_7mkjNGr1b8WpFYN,anonymous,EN,1,1,1,40,3,,1,,6.2,1,5,5,5,1,10,,1,0,7,1,3,3,3,4,1,4,5,5,5,3,45,4,"I work for Shaw Industries in Dalton, Georgia which is the biggest floor supplier in the United States.",1,1
2026-02-23 10:10:36,2026-02-23 10:15:12,0,100,275,1,2026-02-23 10:15:13,R_7t17IgVrqRiTqGR,anonymous,EN,1,1,1,40,2,,1,,3.5,1,4,4,4,2,"1,3",,6,35,"1,4,5",4,4,4,3,4,1,3,4,4,3,4,21,4,My primary job is performing genetic data analysis and writing manuscript.,1,1
2026-02-23 10:08:58,2026-02-23 10:15:41,0,100,403,1,2026-02-23 10:15:41,R_3fOGEzK9vHtIx1h,anonymous,EN,1,1,1,40,8,,3,,6,1,4,4,4,3,1,,5,15,"1,2",4,4,4,2,4,1,4,4,4,4,4,36,4,I manage the day-to-day operations of a Health Care Clinic.,1,1
2026-02-23 10:09:50,2026-02-23 10:15:44,0,100,353,1,2026-02-23 10:15:44,R_3adifeMed38GelP,anonymous,EN,1,1,1,40,5,,2,,7,1,5,5,5,5,"6,8",,6,50,"1,3,5,6",5,5,5,2,5,1,4,5,4,4,4,15,4,Project management i oversee a team of 7.,1,1
2026-02-23 10:11:54,2026-02-23 10:15:59,0,100,244,1,2026-02-23 10:15:59,R_6wbs6FGVD39OSMV,anonymous,EN,1,1,1,40,6,,1,,1,1,5,3,4,3,"1,2",,6,10,"1,2,3",4,5,4,2,4,1,3,4,4,4,1,3,4,Financial Analyst,1,1
2026-02-23 10:08:29,2026-02-23 10:16:45,0,100,495,1,2026-02-23 10:16:45,R_1wqA2d8CKZqBrQR,anonymous,EN,0.30000001192092896,1,1,62,2,,2,,0.6,1,5,5,5,2,"1,3,5,7",,5,60,"1,2,3,5,6",5,5,5,4,5,1,4,5,5,4,4,4,4,"i oversee workers ",1,1
2026-02-23 10:08:16,2026-02-23 10:16:55,0,100,518,1,2026-02-23 10:16:56,R_5E5ftkUQtZArwgF,anonymous,EN,1,1,1,40,8,,1,,2,1,4,4,4,2,"2,3,8",,4,10,"1,2,6",4,4,3,1,4,1,4,5,5,5,5,2,4,"I am a Customer Support Specialist, so my role involves assisting our customers and sales team with anything they may need.",1,1
2026-02-23 10:12:05,2026-02-23 10:16:57,0,100,292,1,2026-02-23 10:16:58,R_5yefxOmr3thmDDt,anonymous,EN,1,1,1,60,11,Writing,4,,19,1,4,4,2,4,10,,2,0,6,1,1,1,2,3,2,,3,4,3,4,42,4,My primary job is working as a writer and freelance illustrator.,1,1
2026-02-23 10:08:39,2026-02-23 10:16:58,0,100,499,1,2026-02-23 10:16:59,R_68d6FSveJOHd5df,anonymous,EN,0.8999999761581421,1,1,40,8,,1,,4,1,4,4,5,2,"1,2,8",,6,70,"1,2",4,4,4,4,3,2,,5,5,4,4,4,4,"I am a Sales agent who also helps with customer support inquiries. ",1,1
2026-02-23 10:11:14,2026-02-23 10:17:23,0,100,368,1,2026-02-23 10:17:23,R_5dmv66hl6yqMVfE,anonymous,EN,1,1,1,50,2,,3,,12,1,4,4,4,2,"1,3,4",,6,8,"1,2,3,4,5",4,4,4,2,4,1,4,4,4,5,5,34,4,I perform data analysis and data maintenance for a business services company.,1,1
2026-02-23 10:09:30,2026-02-23 10:18:04,0,100,514,1,2026-02-23 10:18:05,R_1UVlPI4zWYp2ofW,anonymous,EN,1,1,1,40,10,,3,,6,1,4,4,5,2,1,,2,5,"1,5",2,4,3,3,4,1,4,5,5,5,5,19,4,Office manager for agriculture company,1,1
2026-02-23 10:09:52,2026-02-23 10:19:37,0,100,585,1,2026-02-23 10:19:37,R_1GEtUiBhRiNv4YJ,anonymous,EN,1,1,1,40,11,Education,2,,13.5,1,4,4,3,3,"1,3",,6,20,"1,2,3,6",3,5,5,1,4,1,4,5,5,5,5,13.5,4,I teach students math:,1,1
2026-02-23 10:07:56,2026-02-23 10:21:04,0,100,787,1,2026-02-23 10:21:04,R_7ReGxAfHGLvkHwu,anonymous,EN,0.800000011920929,1,1,40,8,,1,,3.5,1,5,4,4,2,10,,1,0,7,2,3,3,1,3,1,4,4,4,2,4,10,4,I schedule appointments for eye doctors,1,1
2026-02-23 10:11:13,2026-02-23 10:21:34,0,100,621,1,2026-02-23 10:21:35,R_7EJZqs35og10e0x,anonymous,EN,0.8999999761581421,1,1,40,6,,1,,5,1,5,4,4,3,1,,4,10,5,2,4,4,1,3,1,4,4,3,2,4,16,4,I process loans for a non-profit that provides financing to small business owners that want to buy the building that they current rent.,1,1
2026-02-23 10:12:00,2026-02-23 10:22:18,0,100,617,1,2026-02-23 10:22:18,R_11hfA3smaiYEoXD,anonymous,EN,1,1,1,40,8,,2,,6.5,1,4,5,4,3,"1,5",,3,5,"5,6",3,4,4,2,4,1,4,5,5,4,4,25,4,My primary job is to manage the operation of a college library,1,1
2026-02-23 10:08:52,2026-02-23 10:25:45,0,100,1012,1,2026-02-23 10:25:46,R_1k0xfRC5ryEUlCl,anonymous,EN,1,1,1,45,3,,2,,3,1,4,5,3,4,2,,4,5,"1,2,6",3,4,5,4,5,1,5,5,5,5,5,21,4,"I handle all same-day and/or service calls for a commercial and residential electrical company, while managing a team of service technicians. ",1,1
2026-02-23 10:10:39,2026-02-23 10:26:19,0,100,939,1,2026-02-23 10:26:19,R_5hXZBaypfTdj5Jd,anonymous,EN,1,1,1,40,1,,3,,8,1,5,4,5,2,"1,5",,5,45,"2,3,6",4,5,4,3,4,1,4,5,5,4,4,19,4,my job is being an IT Manager in my company,1,1
2026-02-23 10:11:01,2026-02-23 10:26:47,0,100,945,1,2026-02-23 10:26:47,R_3JCmGIpAZcoLu4B,anonymous,EN,1,1,1,40,8,,1,,4,1,4,4,4,5,8,,2,5,"2,5",2,5,4,4,3,1,4,4,5,4,4,11,4,Client service management and retention,1,1
2026-02-23 10:48:59,2026-02-23 10:54:40,0,100,340,1,2026-02-23 10:54:40,R_7WpAfjXeyJrRRAt,anonymous,EN,1,1,1,40,5,,1,,2,1,4,4,5,2,"1,5",,4,30,"1,2,5",3,4,4,2,3,1,4,4,4,3,4,17,4,Digital marketing for a real estate company,1,1
2026-02-23 10:08:06,2026-02-23 10:08:24,0,10,17,0,2026-02-23 11:08:25,R_1ndAARFllJdTmVP,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2026-02-25 10:27:47,2026-02-25 10:30:21,0,100,154,1,2026-02-25 10:30:22,R_6woJqaDOhayuvIZ,anonymous,EN,1,1,1,40,1,,1,,0.5,1,3,2,2,5,2,,6,10,"1,2,3,6",3,4,4,2,3,2,,4,4,3,4,6.5,4,"Internal auditing of software teams for new cybersecurity related standards and certifications ",1,1
2026-02-25 10:27:58,2026-02-25 10:30:37,0,100,158,1,2026-02-25 10:30:38,R_6QRjKFwAsyrBNWY,anonymous,EN,1,1,1,40,11,Law,3,,13,1,4,4,4,4,10,,1,0,7,2,2,2,2,2,1,4,4,4,4,4,25,4,I am a police officer.,1,1
2026-02-25 10:28:33,2026-02-25 10:30:59,0,100,146,1,2026-02-25 10:31:00,R_7akJSc4Mzs9D4I4,anonymous,EN,1,1,1,40,1,,1,,14.5,1,4,4,4,3,1,,2,1,4,2,3,4,3,3,1,4,4,4,3,5,28,4,I am a consulting software tester.,1,1
2026-02-25 10:28:05,2026-02-25 10:31:16,0,100,191,1,2026-02-25 10:31:16,R_7fHIcSP2DnvyPaX,anonymous,EN,1,1,1,45,3,,3,,6,1,4,4,4,2,"2,3,5,7",,5,10,"1,2,5",4,5,5,2,4,1,4,5,5,5,5,28,4,I am a caretaker and a manager.,1,1
2026-02-25 10:28:23,2026-02-25 10:31:20,0,100,177,1,2026-02-25 10:31:21,R_3Nx1m6gMMIKSQcT,anonymous,EN,1,1,1,40,3,,1,,3,1,2,1,2,2,2,,3,10,1,2,2,4,4,3,2,,4,4,2,4,3,4,"I am an engineer at an environmental consulting company ",1,1
2026-02-25 10:27:48,2026-02-25 10:31:28,0,100,220,1,2026-02-25 10:31:29,R_7Esf8C1ci3exp4O,anonymous,EN,1,1,1,40,6,,1,,2.5,1,3,2,2,4,10,,2,2,7,1,1,1,1,4,2,,5,4,4,5,14.5,4,I process accounts receivable and payable as well as process payroll and expense processing,1,1
2026-02-25 10:28:23,2026-02-25 10:31:31,0,100,187,1,2026-02-25 10:31:31,R_3inxSdMDYoGLyH5,anonymous,EN,1,1,1,40,11,Elections Technology,1,,10,1,4,4,4,2,1,,2,1,"3,4,6",1,4,4,2,5,2,,5,5,5,5,10,4,To create ballot tabulation databases,1,1
2026-02-25 10:27:47,2026-02-25 10:32:33,0,100,285,1,2026-02-25 10:32:33,R_6IzQlN09Ditsslo,anonymous,EN,1,1,1,40,6,,3,,9,1,5,5,4,2,1,,5,5,"2,3",4,4,4,2,4,1,4,4,4,4,5,15,4,"Accounting and payroll. ",1,1
2026-02-25 10:31:00,2026-02-25 10:33:27,0,100,147,1,2026-02-25 10:33:28,R_6ONhBkdkjvPjIoa,anonymous,EN,1,1,1,50,10,,3,,18,1,5,5,5,1,10,,1,0,7,1,1,1,1,5,1,4,5,5,5,3,33,4,I run a crew that builds and remodels homes,1,1
2026-02-25 10:31:06,2026-02-25 10:33:49,0,100,162,1,2026-02-25 10:33:49,R_7xj0OCin1pTVRyV,anonymous,EN,1,1,1,40,1,,1,,4,1,3,2,1,5,2,,5,1,"1,3,5,6",3,5,4,3,4,1,3,5,5,5,4,20,4,I am an R&D Engineer in a building materials company and I work on developing new products at a lab scale,1,1
2026-02-25 10:30:14,2026-02-25 10:33:49,0,100,215,1,2026-02-25 10:33:50,R_7DV5GOeohPrHi1P,anonymous,EN,1,1,1,40,3,,5,,3,1,4,4,4,2,3,,3,5,"1,3,6",2,4,4,2,3,2,,4,4,4,4,30,4,"Owner, e-commerce business.",1,1
2026-02-25 10:30:26,2026-02-25 10:33:51,0,100,205,1,2026-02-25 10:33:52,R_6rd1TDp0S70tRct,anonymous,EN,0.8999999761581421,1,1,50,4,,1,,18,1,2,4,2,5,1,,4,10,"1,4",2,4,4,3,4,1,4,5,5,4,4,30,4,"I am a Sales Engineer for a start up software company. ",1,1
2026-02-25 10:28:02,2026-02-25 10:34:19,0,100,377,1,2026-02-25 10:34:20,R_16Valmy65iacRXP,anonymous,EN,1,1,1,40,11,Consulting,1,,1,1,4,3,4,1,1,,3,5,2,1,4,4,1,3,2,,4,4,4,3,7,4,"I work with Architects and Engineers on their designs as I prepare their drawings to be ready to be filed at the Department of Buildings ",1,1
2026-02-25 10:28:12,2026-02-25 10:34:27,0,100,375,1,2026-02-25 10:34:28,R_6ZGn3gE8uC2f30t,anonymous,EN,1,1,1,50,3,,2,,6,1,2,2,1,5,1,,6,10,"1,2,3",5,5,5,2,4,1,5,5,5,5,5,11,4,I manage a team that assemebles motor control systems,1,1
2026-02-25 10:31:46,2026-02-25 10:34:45,0,100,179,1,2026-02-25 10:34:46,R_1HpkqgiXNI63m3l,anonymous,EN,0.8999999761581421,1,1,40,11,Forestry/Logging,1,,13,1,5,5,5,1,10,,1,0,7,1,3,3,2,3,1,3,5,5,4,5,13,4,"I work in a small team on trees; falling, pruning, etc.",1,1
2026-02-25 10:32:25,2026-02-25 10:34:50,0,100,145,1,2026-02-25 10:34:51,R_5tYcQpAfWf43Smt,anonymous,EN,1,1,1,40,1,,1,,18,1,4,4,4,2,10,,1,0,7,1,1,1,4,3,1,4,5,5,5,2,18,4,I am a web application tester.,1,1
2026-02-25 10:31:51,2026-02-25 10:34:57,0,100,186,1,2026-02-25 10:34:58,R_1yj9LwF5s2ZPdki,anonymous,EN,1,1,1,40,11,"Scientist ",1,,5,1,4,4,4,4,1,,3,1,1,2,4,4,4,3,1,3,4,4,4,4,10,4,"Scientist working in biosafety testing ",1,1
