StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,age,employed,hours_week,job_function,job_function_11_TEXT,job_level,job_level_6_TEXT,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_TEXT,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible
2026-02-15 20:39:50,2026-02-15 20:43:58,Survey Preview,100,247,True,2026-02-15 20:43:58,R_6SIxQuc6wATLDBW,preview,EN,,Yes,Yes,,Operations / Supply Chain,,Team lead / supervisor,,,False,Agree,Agree,Strongly agree,Strongly agree,,,Daily or more,,I do not use AI assistance tools,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Top 20%,Yes,Far exceeds expectations,Agree,Agree,Strongly agree,Strongly agree,,Strongly agree,Test,Yes,1
2026-02-17 10:20:00,2026-02-17 10:20:23,Survey Preview,100,22,True,2026-02-17 10:20:23,R_67qhm5xBIORIa6t,preview,EN,,Yes,Yes,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-17 10:20:39,2026-02-17 10:21:24,Survey Preview,100,45,True,2026-02-17 10:21:25,R_6EyrC9wqn38LWRu,preview,EN,,Yes,Yes,,Software / IT / Engineering,,Individual contributor,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-20 16:50:05,2026-02-20 16:52:03,Survey Preview,100,117,True,2026-02-20 16:52:03,R_7MwuShkfJTHX4fD,preview,EN,1,No,No,40,Sales / Account Management,,Manager,,4,True,Disagree,Neither agree nor disagree,Agree,Disagree,"DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Perplexity (or similar AI search assistant)",,3–4 times per week,10,Coding or debugging,Agree,Neither agree nor disagree,Agree,Agree,Above average,No,,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,40,Disagree,IT,Yes,1
2026-02-20 16:52:40,2026-02-20 16:53:48,Survey Preview,100,68,True,2026-02-20 16:53:49,R_7iajOpBGbhckNp4,preview,EN,1,Yes,Yes,5,Operations / Supply Chain,,Senior manager / director,,5,True,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagreeGoogle Gemini (formerly Bard),,3–4 times per week,5,Coding or debugging,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Above average,Not sure,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,5,Disagree,55,Yes,1
2026-02-23 10:07:13,2026-02-23 10:10:29,IP Address,100,195,True,2026-02-23 10:10:29,R_6DViTSCAAczoCkN,anonymous,EN,1,Yes,Yes,36,Customer Support / Service,,Individual contributor,,2,True,Agree,Agree,Strongly agree,Disagree,"Grammarly (or similar writing assistant),Other (please specify)",ChatGPT; Microsoft Co-Pilot,Daily or more,15,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Planning or outlining",Agree,Strongly agree,Strongly agree,Strongly disagree,Above average,Yes,Exceeds expectations,Strongly agree,Strongly agree,Agree,Strongly agree,5,Agree,I currently work as an Associate Marriage and Family therapist in a group practice setting,Yes,1
2026-02-23 10:08:08,2026-02-23 10:10:32,IP Address,100,144,True,2026-02-23 10:10:33,R_5fJA8hOj2KKbWq6,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Individual contributor,,1,True,Agree,Disagree,Neither agree nor disagree,Agree,I do not use AI assistance tools,,Never,0,I do not use AI assistance tools,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,About average,No,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,26,Agree,"Test technician responsible for testing equipment to ensure full functionality ",Yes,1
2026-02-23 10:08:05,2026-02-23 10:10:35,IP Address,100,149,True,2026-02-23 10:10:35,R_3TTbsMCbFhjLsvj,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Individual contributor,,1,True,Agree,Agree,Neither agree nor disagree,Agree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard)",,Daily or more,5,"Summarizing documents or messages,Brainstorming or ideation,Coding or debugging",Disagree,Agree,Agree,Disagree,About average,No,,Agree,Agree,Neither agree nor disagree,Agree,5,Agree,I'm a software developer,Yes,1
2026-02-23 10:07:21,2026-02-23 10:11:29,IP Address,100,248,True,2026-02-23 10:11:29,R_6eV61acyFOt3nDb,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Manager,,4.6,True,Agree,Agree,Agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Grammarly (or similar writing assistant),Perplexity (or similar AI search assistant)",,Daily or more,15,"Writing or editing text,Summarizing documents or messages,Coding or debugging,Data analysis",Agree,Agree,Agree,Neither agree nor disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Neither agree nor disagree,Agree,40,Agree,Quality manager of a lab,Yes,1
2026-02-23 10:08:01,2026-02-23 10:11:57,IP Address,100,235,True,2026-02-23 10:11:57,R_19bI4TgWfOkdEu8,anonymous,EN,1,Yes,Yes,40,Other (specify),education,Individual contributor,,1.5,True,Agree,Agree,Agree,Disagree,Strongly disagreeChatGPT (OpenAI),,1–2 times per week,20,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Strongly agree,Agree,Disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Agree,Agree,25,Agree,I teach nursing students in an associates degree nursing program.,Yes,1
2026-02-23 10:09:40,2026-02-23 10:12:28,IP Address,100,167,True,2026-02-23 10:12:28,R_12G1j0Z0s2BD9DV,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Team lead / supervisor,,2,True,Agree,Neither agree nor disagree,Disagree,Strongly agree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Company-provided internal AI tool(s)",,Daily or more,10,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Agree,Neither agree nor disagree,Disagree,Top 20%,Yes,Exceeds expectations,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20,Agree,"My primary job is to identify, analyze and report on cybersecurity risks.",Yes,1
2026-02-23 10:08:04,2026-02-23 10:12:49,IP Address,100,284,True,2026-02-23 10:12:50,R_1Ez2qd62gWkGARl,anonymous,EN,1,Yes,Yes,40,Software / IT / Engineering,,Manager,,4,True,Agree,Strongly agree,Agree,Strongly disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard),Grammarly (or similar writing assistant)",,Daily or more,2,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation",Agree,Agree,Strongly agree,Disagree,About average,Yes,Meets expectations,Strongly agree,Agree,Agree,Strongly agree,11,Agree,Project Manager,Yes,1
2026-02-23 10:09:03,2026-02-23 10:14:24,IP Address,100,321,True,2026-02-23 10:14:25,R_1n7sYE5UTwVHXQY,anonymous,EN,1,Yes,Yes,40,Sales / Account Management,,Senior manager / director,,9,True,Agree,Strongly agree,Neither agree nor disagree,Agree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Notion AI (or similar note/document assistant),Company-provided internal AI tool(s)",,3–4 times per week,50,"Writing or editing text,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Agree,Agree,Neither agree nor disagree,About average,No,,Strongly agree,Agree,Strongly agree,Agree,12,Agree,I’m a senior supervisor of a large retail chain,Yes,1
2026-02-23 10:10:38,2026-02-23 10:14:30,IP Address,100,231,True,2026-02-23 10:14:30,R_3EzrkjeFyC73utK,anonymous,EN,1,Yes,Yes,52,Sales / Account Management,,Other (specify),owner/operator,11.7,True,Strongly agree,Strongly agree,Agree,Disagree,Other (please specify),grok,Daily or more,45,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Agree,Strongly agree,Strongly agree,Strongly disagree,About average,No,,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,26,Agree,i am a small business owner/operator and am involved with all aspects of the business.,Yes,1
2026-02-23 10:09:54,2026-02-23 10:14:35,IP Address,100,280,True,2026-02-23 10:14:36,R_1VEuuj2qawKCe4N,anonymous,EN,0.6000000238418579,Yes,Yes,40,Software / IT / Engineering,,Team lead / supervisor,,7,True,Agree,Agree,Agree,Disagree,Grammarly (or similar writing assistant),,1–2 times per week,10,Writing or editing text,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,About average,Yes,Exceeds expectations,Agree,Agree,Neither agree nor disagree,Agree,37,Agree,Keep the computers running.,Yes,1
2026-02-23 10:09:35,2026-02-23 10:14:51,IP Address,100,315,True,2026-02-23 10:14:51,R_1vhLArEDedHsSv7,anonymous,EN,1,Yes,Yes,40,Product / Program Management,,Manager,,3,True,Agree,Agree,Agree,Neither agree nor disagree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot)",,1–3 times per month,2,"Brainstorming or ideation,Coding or debugging,Planning or outlining",Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,About average,Yes,Exceeds expectations,Agree,Agree,Disagree,Strongly agree,13,Agree,"Project management. ",Yes,1
2026-02-23 10:09:21,2026-02-23 10:14:53,IP Address,100,331,True,2026-02-23 10:14:53,R_7mkjNGr1b8WpFYN,anonymous,EN,1,Yes,Yes,40,Operations / Supply Chain,,Individual contributor,,6.2,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,I do not use AI assistance tools,,Never,0,I do not use AI assistance tools,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Above average,Yes,Exceeds expectations,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,45,Agree,"I work for Shaw Industries in Dalton, Georgia which is the biggest floor supplier in the United States.",Yes,1
2026-02-23 10:10:36,2026-02-23 10:15:12,IP Address,100,275,True,2026-02-23 10:15:13,R_7t17IgVrqRiTqGR,anonymous,EN,1,Yes,Yes,40,Data / Analytics / Research,,Individual contributor,,3.5,True,Agree,Agree,Agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard)",,Daily or more,35,"Writing or editing text,Coding or debugging,Data analysis",Agree,Agree,Agree,Neither agree nor disagree,Above average,Yes,Meets expectations,Agree,Agree,Neither agree nor disagree,Agree,21,Agree,My primary job is performing genetic data analysis and writing manuscript.,Yes,1
2026-02-23 10:08:58,2026-02-23 10:15:41,IP Address,100,403,True,2026-02-23 10:15:41,R_3fOGEzK9vHtIx1h,anonymous,EN,1,Yes,Yes,40,Customer Support / Service,,Manager,,6,True,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagreeChatGPT (OpenAI),,3–4 times per week,15,"Writing or editing text,Summarizing documents or messages",Agree,Agree,Agree,Disagree,Above average,Yes,Exceeds expectations,Agree,Agree,Agree,Agree,36,Agree,I manage the day-to-day operations of a Health Care Clinic.,Yes,1
2026-02-23 10:09:50,2026-02-23 10:15:44,IP Address,100,353,True,2026-02-23 10:15:44,R_3adifeMed38GelP,anonymous,EN,1,Yes,Yes,40,Marketing / Communications,,Team lead / supervisor,,7,True,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Notion AI (or similar note/document assistant),Company-provided internal AI tool(s)",,Daily or more,50,"Writing or editing text,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Strongly agree,Strongly agree,Disagree,Top 20%,Yes,Exceeds expectations,Strongly agree,Agree,Agree,Agree,15,Agree,Project management i oversee a team of 7.,Yes,1
2026-02-23 10:11:54,2026-02-23 10:15:59,IP Address,100,244,True,2026-02-23 10:15:59,R_6wbs6FGVD39OSMV,anonymous,EN,1,Yes,Yes,40,Finance / Accounting,,Individual contributor,,1,True,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,"Strongly disagreeChatGPT (OpenAI),DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot)",,Daily or more,10,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation",Agree,Strongly agree,Agree,Disagree,Above average,Yes,Meets expectations,Agree,Agree,Agree,Strongly disagree,3,Agree,Financial Analyst,Yes,1
2026-02-23 10:08:29,2026-02-23 10:16:45,IP Address,100,495,True,2026-02-23 10:16:45,R_1wqA2d8CKZqBrQR,anonymous,EN,0.30000001192092896,Yes,Yes,62,Data / Analytics / Research,,Team lead / supervisor,,0.6,True,Strongly agree,Strongly agree,Strongly agree,Disagree,"Strongly disagreeChatGPT (OpenAI),Neither agree nor disagreeGoogle Gemini (formerly Bard),Grammarly (or similar writing assistant),Perplexity (or similar AI search assistant)",,3–4 times per week,60,"Writing or editing text,Summarizing documents or messages,Brainstorming or ideation,Data analysis,Planning or outlining",Strongly agree,Strongly agree,Strongly agree,Agree,Top 20%,Yes,Exceeds expectations,Strongly agree,Strongly agree,Agree,Agree,4,Agree,"i oversee workers ",Yes,1
2026-02-23 10:08:16,2026-02-23 10:16:55,IP Address,100,518,True,2026-02-23 10:16:56,R_5E5ftkUQtZArwgF,anonymous,EN,1,Yes,Yes,40,Customer Support / Service,,Individual contributor,,2,True,Agree,Agree,Agree,Disagree,"DisagreeMicrosoft Copilot (e.g., Copilot for Microsoft 365 / GitHub Copilot),Neither agree nor disagreeGoogle Gemini (formerly Bard),Company-provided internal AI tool(s)",,1–2 times per week,10,"Writing or editing text,Summarizing documents or messages,Planning or outlining",Agree,Agree,Neither agree nor disagree,Strongly disagree,Above average,Yes,Exceeds expectations,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,Agree,"I am a Customer Support Specialist, so my role involves assisting our customers and sales team with anything they may need.",Yes,1
2026-02-23 10:12:05,2026-02-23 10:16:57,IP Address,100,292,True,2026-02-23 10:16:58,R_5yefxOmr3thmDDt,anonymous,EN,1,Yes,Yes,60,Other (specify),Writing,Senior manager / director,,19,True,Agree,Agree,Disagree,Agree,I do not use AI assistance tools,,Less than once per month,0,Planning or outlining,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,About average,No,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,42,Agree,My primary job is working as a writer and freelance illustrator.,Yes,1
